LSOA_code,FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n
E01000068,9,5,10,100,8,10,7,10
E01000069,8,3,10,100,7,10,7,10
E01000070,5,6,10,100,6,10,6,10
E01000071,12,3,10,100,9,10,8,10
E01000072,4,7,10,100,6,10,6,10
E01000073,8,5,10,100,7,10,7,10
E01000074,10,5,10,100,8,10,7,10
E01000075,6,5,10,100,7,10,7,10
E01000076,6,5,10,100,7,10,7,10
E01000077,7,7,10,100,7,10,7,10
E01000078,4,7,10,100,6,10,6,10
E01000079,5,4,10,100,7,10,7,10
E01000080,8,4,10,100,8,10,7,10
E01000081,6,5,10,100,7,10,7,10
E01000082,6,7,10,100,7,10,6,10
E01000083,4,10,10,100,6,10,6,10
E01000084,5,8,10,100,7,10,7,10
E01000085,4,7,10,100,6,10,6,10
E01000086,7,8,10,100,7,10,7,10
E01000087,4,7,10,100,6,10,6,10
E01000088,3,7,10,100,6,10,6,10
E01000089,9,5,10,100,8,10,8,10
E01000090,6,6,10,100,7,10,8,10
E01000091,6,3,10,100,7,7,7,7
E01000092,12,3,10,70,11,8,9,9
E01000093,5,4,10,100,7,9,6,10
E01000094,13,2,10,100,11,7,10,7
E01000095,10,3,10,100,10,8,10,10
E01000096,8,3,10,100,8,9,7,9
E01000097,10,9,10,100,8,10,8,10
E01000098,6,10,10,100,7,10,7,10
E01000099,10,9,10,100,8,10,8,10
E01000100,9,7,10,100,8,10,7,10
E01000101,4,6,10,100,7,10,6,10
E01000102,7,8,10,100,7,10,7,10
E01000103,7,7,10,100,8,10,7,10
E01000104,4,9,10,100,6,10,6,10
E01000105,6,9,10,100,7,10,7,10
E01000106,4,7,10,100,6,10,6,10
E01000107,8,4,10,100,8,10,7,10
E01000108,3,7,10,100,6,10,6,10
E01000109,10,5,10,100,9,10,8,10
E01000110,4,5,10,100,6,10,6,10
E01000111,7,7,10,100,7,10,7,10
E01000112,6,9,10,100,7,10,7,10
E01000113,3,8,10,100,6,10,7,10
E01000114,4,6,10,100,7,10,7,10
E01000115,7,5,10,100,8,10,7,10
E01000116,7,4,10,100,9,10,9,10
E01000117,8,4,10,100,8,10,8,10
E01000118,7,8,10,100,8,10,8,10
E01000119,9,4,10,100,9,10,8,10
E01000120,5,5,10,100,7,10,7,10
E01000121,10,3,10,100,9,10,8,10
E01000122,10,4,10,100,9,10,8,10
E01000123,6,5,10,100,7,10,7,10
E01000124,3,8,10,100,6,10,6,10
E01000125,6,8,10,100,8,10,8,10
E01000126,11,5,10,100,10,10,8,10
E01000127,6,8,10,100,7,10,6,10
E01000128,7,7,10,100,7,10,7,10
E01000129,3,9,10,100,6,10,6,10
E01000130,12,4,10,100,9,10,8,10
E01000131,6,6,10,100,7,10,7,10
E01000132,5,7,10,100,7,10,6,10
E01000133,10,5,10,100,8,10,7,10
E01000134,8,9,10,100,8,10,7,10
E01000135,8,8,10,100,7,10,7,10
E01000136,6,7,10,100,7,10,7,10
E01000137,6,7,10,100,8,10,7,10
E01000138,8,6,10,100,8,10,7,10
E01000139,5,8,10,100,7,10,7,10
E01000140,2,9,10,100,6,10,6,10
E01000141,4,10,10,100,6,10,6,10
E01000142,7,6,10,100,7,10,7,10
E01000143,5,9,10,100,7,10,7,10
E01000144,4,8,10,100,6,10,6,10
E01000145,7,4,10,100,7,10,7,10
E01000146,3,10,10,100,6,10,6,10
E01000147,9,5,10,100,8,10,7,10
E01000148,7,7,10,100,8,10,7,10
E01000150,11,2,10,66,9,10,7,10
E01000151,9,6,10,100,9,10,8,10
E01000152,9,4,10,100,10,10,8,10
E01000153,12,3,10,100,10,10,9,10
E01000154,5,5,10,100,7,10,6,10
E01000155,4,7,10,100,6,10,6,10
E01000156,9,7,10,100,8,10,7,10
E01000157,13,3,10,100,9,10,8,10
E01000158,9,6,10,100,8,10,7,10
E01000159,7,5,10,100,7,10,7,10
E01000160,7,6,10,100,8,10,8,10
E01000161,7,7,10,100,7,10,7,10
E01000162,4,6,10,100,7,10,7,10
E01000163,11,2,10,100,10,10,10,10
E01000164,10,6,10,100,9,10,8,10
E01000165,11,4,10,100,9,10,8,10
E01000166,10,4,10,100,9,9,8,10
E01000167,11,5,10,100,9,10,8,10
E01000168,9,4,10,100,8,10,7,10
E01000169,8,5,10,100,8,10,7,10
E01000170,4,6,10,100,6,10,6,10
E01000171,3,6,10,100,6,10,6,10
E01000172,9,6,10,100,8,10,7,10
E01000173,8,4,10,100,8,10,7,10
E01000174,5,4,10,100,8,10,7,10
E01000175,10,5,10,100,8,10,8,10
E01000176,12,2,10,100,9,10,9,10
E01000177,9,3,10,100,8,10,8,10
