Mobility(Stage 2),Grocery(Super),Grocery(Large),Grocery(Medium),Grocery(Small),NNI,PointsDens,FoodPTt,FoodPT15n,FoodCyct,FoodCyc15n,FoodCart,DTN,NP(500m),NP(1km),NP(2km),AG(0-18),AG(19-34),AG(35-49),AG(50-64),AG(65+),InDe,CO(0),CO(1),CO(2),CO(3),CO(4+),pop_den,employee/pop
-6.363636364,0.047058824,0.023529412,0.352941176,0.576470588,0.865969457,0.031,4.921348315,9.196629213,6.752808989,10,6.786516854,318.2753647,2.518568616,9.239671323,35.20259237,0.202896764,0.358899119,0.226636789,0.133436694,0.078130635,0,0.578493582,0.346700816,0.062661037,0.009375697,0.002768869,119.0598692,0.424324433
-5.990909091,0.068493151,0.04109589,0.342465753,0.547945205,1.042798864,0.024,4.981927711,8.536144578,6.837349398,10,6.837349398,311.058548,2.515594517,9.314252109,38.12186118,0.21369306,0.337195412,0.229138138,0.140595207,0.079378183,0,0.583880022,0.345634519,0.059565528,0.008578167,0.002341765,103.2650919,0.594028508
-7.481818182,0.06779661,0.050847458,0.322033898,0.559322034,0.937158678,0.017,5.798816568,7.183431953,7.082840237,10,6.804733728,404.4273728,1.48945534,5.4408747,20.91127445,0.237982006,0.2779551,0.243450769,0.147633061,0.092979063,0,0.481458511,0.404777287,0.093280272,0.016151123,0.004332808,84.18735874,0.265349365
-7.263636364,0.095238095,0.047619048,0.349206349,0.507936508,0.77049461,0.012,6.264900662,6.907284768,7.278145695,9.894039735,7.059602649,453.6574771,1.333435206,4.303005466,14.60352085,0.251780366,0.265568425,0.233687405,0.144645437,0.104318366,0,0.420159335,0.426126973,0.12393488,0.022969964,0.006808848,54.47911359,0.313675615
-7.263636364,0.155555556,0.066666667,0.422222222,0.355555556,0.861968672,0.007,6.794520548,6.130136986,7.589041096,9.623287671,6.952054795,587.313662,0.81574146,2.949940996,10.26712232,0.24342741,0.206436719,0.205581849,0.178998274,0.165555748,0,0.23668524,0.454127252,0.23441752,0.056196277,0.018573712,37.66607883,0.308372773
-7.109090909,0.156862745,0.058823529,0.333333333,0.450980392,0.835968904,0.006,7.972677596,4.732240437,8.081967213,9.551912568,7.573770492,565.0514087,0.835338562,2.981605421,10.3583198,0.266191278,0.228755941,0.214512549,0.162523254,0.128016978,0.1,0.324668935,0.432569465,0.183436739,0.044431102,0.014893759,39.95523128,0.321200976
-7.136363636,0.136363636,0.113636364,0.181818182,0.568181818,1.070531677,0.011,6.409722222,6.555555556,7.319444444,9.743055556,7.145833333,431.3026303,1.345317222,4.665773712,16.73266951,0.25096434,0.266666667,0.232208578,0.147342995,0.102817421,0,0.41898184,0.420520127,0.126211788,0.026656756,0.00762949,69.87489413,0.292145149
-7.681818182,0.047619048,0.166666667,0.380952381,0.404761905,0.747679703,0.007,7.378881988,5.111801242,7.602484472,9.422360248,7.155279503,584.0111491,0.953905682,3.443048011,11.96602473,0.266205739,0.240504325,0.216716702,0.154542055,0.12203118,0,0.279471268,0.449503052,0.208707936,0.048050048,0.014267696,52.58348135,0.265821633
-7.872727273,0.153846154,0.051282051,0.256410256,0.538461538,1.098553394,0.009,7.371900826,5.05785124,7.636363636,9.603305785,7.140495868,512.7276143,1.040261886,3.665925204,12.51006789,0.242699043,0.198266257,0.23387544,0.174473507,0.150685753,0,0.234131553,0.461918285,0.232993067,0.052677361,0.018279735,45.64624519,0.361168153
-7.290909091,0.043478261,0.086956522,0.304347826,0.565217391,0.855946798,0.008,6.739130435,5.965217391,7.373913043,9.67826087,7.095652174,424.8118121,1.279644883,4.252546473,13.75182179,0.237092384,0.182437221,0.256437118,0.175879423,0.148153854,0,0.247397758,0.502022922,0.204033319,0.036650592,0.009895409,33.13926507,0.402541981
-7.154545455,0.04,0.12,0.4,0.44,0.904981079,0.013,6.330645161,6.983870968,7.290322581,9.951612903,6.991935484,431.7397183,1.535827023,5.655111645,21.02162693,0.236003226,0.24364383,0.242534158,0.155921101,0.121897685,0,0.325609152,0.476871897,0.158233554,0.030181444,0.009103953,54.36992653,0.367721751
