LSOA11CD,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n,PointsDens,0-18,19-34,35-49,50-64,65+,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,employee/pop
E01001340,0,0,0,0,9,2,10,100,8,10,9,10,0,0.173798204,0.184363444,0.268885367,0.27997887,0.092974115,0.369565217,0.505928854,0.104743083,0.009881423,0.009881423,1177.037,0,0,4,155.5464256,0.735340729
E01001341,0,0,0,0,4,3,10,100,7,7,7,10,0,0.203928365,0.186019642,0.254766031,0.236279607,0.119006355,0.223062382,0.489603025,0.224952741,0.047258979,0.015122873,811.03,0,2,11,75.52356021,0.564413634
E01001342,0,0,0,0,5,3,10,100,7,8,7,9,0,0.2113127,0.185165422,0.259871932,0.235325507,0.10832444,0.293103448,0.431034483,0.217868339,0.045454545,0.012539185,554.117,0,1,9,98.68351764,0.175026681
E01001343,0,0,0,0,9,2,10,100,8,6,8,10,0,0.196969697,0.159779614,0.211432507,0.241735537,0.190082645,0.200828157,0.501035197,0.215320911,0.068322981,0.014492754,920.93,0,1,11,50.36420395,0.772038567
E01001344,0,0,0,0,9,4,10,100,9,7,8,10,0,0.213915298,0.149956785,0.300777874,0.212618842,0.122731201,0.298863636,0.511363636,0.146590909,0.042045455,0.001136364,707.796,0,1,10,47.89898572,0.543647364
E01001345,0,0,0,0,8,4,10,100,8,10,7,10,0,0.220713073,0.188455008,0.21279004,0.254102999,0.123938879,0.275449102,0.409181637,0.243512974,0.057884232,0.013972056,393.675,1,3,8,97.57040309,0.228636106
E01001346,0,0,0,0,5,2,10,100,7,7,7,10,0,0.223662885,0.13830362,0.215559157,0.259859535,0.162614803,0.19873817,0.496845426,0.23659306,0.052050473,0.015772871,665.658,0,3,11,80.54830287,0.18530524
E01001347,0,0,1,0,7,2,10,100,9,7,9,9,0.149,0.17594154,0.170320405,0.252951096,0.254075323,0.146711636,0.206563707,0.474903475,0.239382239,0.055984556,0.023166023,202.792,1,3,7,26.45746579,1.145025295
E01001348,0,0,0,0,6,3,10,100,7,9,8,10,0,0.21319797,0.140862944,0.279187817,0.219543147,0.147208122,0.258785942,0.504792332,0.185303514,0.04313099,0.00798722,1006.255,0,1,12,38.30821585,0.271573604
E01001349,0,0,0,0,6,4,10,100,8,10,8,10,0,0.202586207,0.156609195,0.229166667,0.275143678,0.136494253,0.331360947,0.429980276,0.191321499,0.035502959,0.01183432,419.403,1,5,9,20.45855379,0.182471264
E01001350,0,0,0,0,9,5,10,100,8,10,7,10,0,0.171601615,0.19717362,0.207940781,0.275235532,0.148048452,0.363929147,0.40257649,0.180354267,0.038647343,0.014492754,454.505,1,5,23,49.79892761,0.201884253
