objectid,lsoa11cd,lsoa11nm,Borough,All Ages,HubName,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
20472,E01004442,Waltham Forest 021E,Waltham Forest,1803 ,1010003474,483.0107576,3,4,18
20473,E01004443,Waltham Forest 016E,Waltham Forest,1907 ,1010004874,291.2186915,5,12,24
20474,E01004440,Waltham Forest 024D,Waltham Forest,2350 ,1010010886,226.8398378,2,4,17
20475,E01004441,Waltham Forest 024E,Waltham Forest,1716 ,1010010886,328.9133077,2,4,12
20478,E01004448,Waltham Forest 018D,Waltham Forest,1885 ,1010010037,134.8138659,1,9,21
20479,E01004449,Waltham Forest 018E,Waltham Forest,1866 ,1010010037,353.3686035,2,12,21
20551,E01033153,Waltham Forest 020G,Waltham Forest,2926 ,1010010440,396.4290339,3,6,26
20630,E01003750,Redbridge 001G,Redbridge,1792 ,1010005076,717.5538649,0,3,10
20719,E01002076,Haringey 015B,Haringey,2008 ,1010000316,541.1237697,0,5,17
20722,E01002075,Haringey 015A,Haringey,2301 ,1010005277,1147.579563,0,5,17
20734,E01002078,Haringey 015C,Haringey,2602 ,1010005277,396.8767548,4,5,18
20773,E01004327,Waltham Forest 028A,Waltham Forest,1213 ,1010004852,425.3490288,1,2,17
20781,E01004328,Waltham Forest 028B,Waltham Forest,2018 ,1010004852,583.8189181,0,2,22
20782,E01004329,Waltham Forest 028C,Waltham Forest,1969 ,1010004852,724.6539875,0,1,19
20898,E01004426,Waltham Forest 022D,Waltham Forest,1790 ,1010004849,335.2181292,1,6,21
20900,E01004427,Waltham Forest 022E,Waltham Forest,2134 ,1010014288,209.6954901,2,4,20
20902,E01004424,Waltham Forest 022B,Waltham Forest,1941 ,1010004849,362.4743165,2,4,20
20903,E01004425,Waltham Forest 022C,Waltham Forest,2056 ,1010014288,193.5035415,2,4,21
20904,E01004422,Waltham Forest 022A,Waltham Forest,1991 ,1010018752,185.9114769,2,4,18
20905,E01004423,Waltham Forest 020D,Waltham Forest,2093 ,1010004849,274.8097156,3,6,24
20906,E01004420,Waltham Forest 020C,Waltham Forest,2163 ,1010010885,222.8575231,4,7,23
20907,E01004421,Waltham Forest 018B,Waltham Forest,2291 ,1010004849,166.2204897,1,7,21
20910,E01004428,Waltham Forest 026B,Waltham Forest,2035 ,1010004850,573.3323757,0,4,14
20911,E01004429,Waltham Forest 026C,Waltham Forest,2002 ,1010004850,218.2040217,2,4,16
21256,E01004387,Waltham Forest 007E,Waltham Forest,1431 ,1010010028,689.76824,0,2,7
21260,E01004386,Waltham Forest 003C,Waltham Forest,1671 ,1010010028,295.3157606,1,1,8
21264,E01004385,Waltham Forest 003B,Waltham Forest,1434 ,1010005076,1220.181386,0,0,8
21266,E01004384,Waltham Forest 003A,Waltham Forest,2107 ,1010010028,232.3966329,1,1,8
21268,E01004383,Waltham Forest 007D,Waltham Forest,1677 ,1010010441,667.0596231,0,1,12
21270,E01004382,Waltham Forest 008C,Waltham Forest,1752 ,1010010441,377.3524878,1,1,12
21272,E01004381,Waltham Forest 007C,Waltham Forest,2047 ,1010010441,338.9286519,1,1,12
21274,E01004380,Waltham Forest 007B,Waltham Forest,1601 ,1010010441,740.4872818,0,1,10
21280,E01004389,Waltham Forest 003D,Waltham Forest,1778 ,1010010028,748.0257086,0,4,4
21282,E01004388,Waltham Forest 007F,Waltham Forest,1672 ,1010010441,435.2209872,1,1,8
21324,E01004406,Waltham Forest 016A,Waltham Forest,1908 ,1010005973,94.3891342,2,11,25
