,time:Treat,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median
FoodCyc15n,-0.12212949136866799,-0.1663972092067183,0.19148482060423955,-0.3156887073474047,0.11866017604092392,-0.7180630658798784,0.7092639881406586,0.8525858453418093,0.8774717845004212,0.41095585068215673,-0.7199207189229,1.0,0.11834810667555615,0.08076433831965356,0.08076433831965356,0.5228857097143559,0.0807643383196536,0.0807643383196536,0.0807643383196536,-0.5567698996675271,0.3338703224111822,-0.036944377947517364,0.6048062130907398,-0.7159123794758945,-0.7040852795671942,0.574497748252769,0.594525443338924,0.5683751713492297,0.5590758339979851,0.5865521622928014,0.5970045471044805
FoodCyc30n,-0.08063067478455907,-0.1755241052256066,0.19571825214638752,0.09503341826593456,-0.15562287688256282,-0.27267144620269157,0.17913260702709893,0.06086968597763264,0.3266909002316059,-0.03889731788724162,-0.3606868098475222,0.11834810667555615,1.0,0.9842724753821734,0.9842724753821734,0.4323215778631714,0.9842724753821747,0.9842724753821747,0.9842724753821747,-0.2320964973257988,0.0653401022299453,-0.2827017326468616,0.14466217945997156,-0.1325254236571985,-0.148225093568826,0.12613461026956221,0.06010937968023784,0.14175880010193126,0.09994974862581968,0.14726573301764467,0.1439979815905087
FoodCyc45n,-0.05808474713104434,-0.11450761205632926,0.16487045779673007,0.08061896645786451,-0.14985908469623493,-0.24726758089736572,0.16189821857382508,-0.023020818029701174,0.2866028876347491,-0.03333333333333335,-0.3336188611476868,0.08076433831965356,0.9842724753821734,1.0,1.0,0.35143132575274666,0.9999999999999996,0.9999999999999996,0.9999999999999996,-0.2371877285047212,-0.05419994463967708,-0.2386252940131061,0.11370195192347715,-0.09746586773596377,-0.12289707221165333,0.10265593493516775,0.0515111606190837,0.11742892659752942,0.07739333536160373,0.12109359119373085,0.11395074390335476
FoodCyc60n,-0.05808474713104434,-0.11450761205632926,0.16487045779673007,0.08061896645786451,-0.14985908469623493,-0.24726758089736572,0.16189821857382508,-0.023020818029701174,0.2866028876347491,-0.03333333333333335,-0.3336188611476868,0.08076433831965356,0.9842724753821734,1.0,1.0,0.35143132575274666,0.9999999999999996,0.9999999999999996,0.9999999999999996,-0.2371877285047212,-0.05419994463967708,-0.2386252940131061,0.11370195192347715,-0.09746586773596377,-0.12289707221165333,0.10265593493516775,0.0515111606190837,0.11742892659752942,0.07739333536160373,0.12109359119373085,0.11395074390335476
FoodCyc15pct,0.016030727975590863,-0.13124830942656446,0.3055228543752788,-0.3424862907295679,0.007289321958147305,-0.5400809715189946,0.48331011947441865,0.4849440777737994,0.7114635300531179,0.2904108339209036,-0.6016722146004242,0.5228857097143559,0.4323215778631714,0.35143132575274666,0.35143132575274666,1.0,0.35143132575274694,0.35143132575274694,0.35143132575274694,-0.5046154561307187,0.6137787150579508,-0.12603177778302907,0.4124434445329052,-0.47312441499520314,-0.4617273827878065,0.36906189126401634,0.39761229112285956,0.37518000619907305,0.33515433675768863,0.39126791106222586,0.405246949532843
FoodCyc30pct,-0.058084747131044404,-0.11450761205632938,0.1648704577967302,0.08061896645786454,-0.14985908469623505,-0.2472675808973659,0.16189821857382522,-0.02302081802970118,0.2866028876347493,-0.03333333333333335,-0.333618861147687,0.0807643383196536,0.9842724753821747,0.9999999999999996,0.9999999999999996,0.35143132575274694,1.0,1.0,1.0,-0.2371877285047214,-0.05419994463967711,-0.23862529401310575,0.11370195192347719,-0.09746586773596387,-0.12289707221165345,0.10265593493516782,0.05151116061908372,0.11742892659752953,0.07739333536160378,0.12109359119373102,0.11395074390335483
FoodCyc45pct,-0.058084747131044404,-0.11450761205632938,0.1648704577967302,0.08061896645786454,-0.14985908469623505,-0.2472675808973659,0.16189821857382522,-0.02302081802970118,0.2866028876347493,-0.03333333333333335,-0.333618861147687,0.0807643383196536,0.9842724753821747,0.9999999999999996,0.9999999999999996,0.35143132575274694,1.0,1.0,1.0,-0.2371877285047214,-0.05419994463967711,-0.23862529401310575,0.11370195192347719,-0.09746586773596387,-0.12289707221165345,0.10265593493516782,0.05151116061908372,0.11742892659752953,0.07739333536160378,0.12109359119373102,0.11395074390335483
FoodCyc60pct,-0.058084747131044404,-0.11450761205632938,0.1648704577967302,0.08061896645786454,-0.14985908469623505,-0.2472675808973659,0.16189821857382522,-0.02302081802970118,0.2866028876347493,-0.03333333333333335,-0.333618861147687,0.0807643383196536,0.9842724753821747,0.9999999999999996,0.9999999999999996,0.35143132575274694,1.0,1.0,1.0,-0.2371877285047214,-0.05419994463967711,-0.23862529401310575,0.11370195192347719,-0.09746586773596387,-0.12289707221165345,0.10265593493516782,0.05151116061908372,0.11742892659752953,0.07739333536160378,0.12109359119373102,0.11395074390335483
FoodCart,0.23041066861128598,0.11365964357645278,-0.12487090211878475,0.5213280568893807,-0.29161595101258175,0.9082515524801174,-0.8821524077427783,-0.27665331980040814,-0.7503394412796599,-0.065837348959697,0.8987570839505651,-0.5567698996675271,-0.2320964973257988,-0.2371877285047212,-0.2371877285047212,-0.5046154561307187,-0.2371877285047214,-0.2371877285047214,-0.2371877285047214,1.0,-0.27451689154322956,-0.2440610706030929,-0.8055719346240621,0.793693148838871,0.7882921659788357,-0.8173341695386402,-0.7939395390201854,-0.8138533566956963,-0.821500151606401,-0.8067423885840466,-0.8283935388838328
FoodCar15n,-0.11114506747844968,-0.3163634061592411,0.21715856228757136,-0.15883111725094415,0.07146831142020194,-0.36210864832327927,0.35664546157926247,0.42928875469920713,0.37220011520378776,-0.038911018487930854,-0.37845703148209353,0.3338703224111822,0.0653401022299453,-0.05419994463967708,-0.05419994463967708,0.6137787150579508,-0.05419994463967711,-0.05419994463967711,-0.05419994463967711,-0.27451689154322956,1.0,0.01921836593391441,0.40080891366078425,-0.4240252493923551,-0.427847410127836,0.3731511847799348,0.30140404795943404,0.3732136496024328,0.34921966538854166,0.380655666728883,0.39958603994187486
