,Stage3,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median,0-18,19-34,35-49,50-64,65+,Total_pop,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Total_car,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,NNI,z.score,p,expected.mean.distance,observed.mean.distance,Employee,employee/pop
NUMPOINT(1km)_mean,-0.611588416,-0.413754001,-0.04970914,-0.542277141,0.569641363,-0.812762304,0.767498258,0.242550873,0.512456024,0.112518945,-0.75021373,0.439609359,0.114277717,0.095692897,0.095692897,0.288665305,0.095692897,0.095692897,0.095692897,-0.564751088,0.289571779,0.066173583,0.99308727,-0.840523778,-0.838747942,0.997742894,0.964794608,1,0.995508995,0.990759972,0.990445537,-0.847459227,0.513079286,0.122185092,-0.041459583,-0.082102543,-0.632936906,-0.00545441,-0.001367317,-0.009815205,-0.005355792,-0.046974018,-0.006305695,-0.070968158,0.011809404,-0.030586942,0.052939005,-0.214659341,0.217293489,-0.050712641,0.163552661,0.184441829,-0.122041514,-0.346779665,0.568576627,-0.158763834,0.151572968,0,0.12434593,0.300049125,-0.143076365,-0.308421168,0.530232174,-0.425215057,0.389410227,-0.4138745,0.400026106,,0.146823585,0.107056966,-0.089987435,0.03836949,-0.035287193,,-0.174371533,-0.41481481,0.349397814,-0.538265186,0.365831906,0.086019432,-0.022723752,0.024825183,-0.05864518,-0.042692627,-0.03214192,0.03118437,0.084831319,0.543323442,-0.503782696,0.604266546,-0.518918432,0.619663062,-0.640022045,0.723616517,-0.790857007,-0.651438586,-0.587257658,-0.536693712,-0.718154654,-0.839445477,0.99752729,0.999796724,0.989003038,0.320642103,0.479494491,0.433303904,-0.01415909,-0.780060509,-0.703604559,0.638279991,0.836904727
NUMPOINT(1km)_median,-0.608948074,-0.378714658,-0.051311745,-0.550261606,0.558073497,-0.808160762,0.764543614,0.245336814,0.503506151,0.104185215,-0.745302032,0.436064994,0.090734577,0.073071078,0.073071078,0.267129024,0.073071078,0.073071078,0.073071078,-0.573826591,0.277050043,0.055029587,0.987279269,-0.838156327,-0.835949899,0.994783965,0.963123349,0.995508995,1,0.98217952,0.990534331,-0.853061265,0.489012599,0.140300609,-0.020465447,-0.053860821,-0.648941081,-0.032280021,0.026924484,-0.034856664,0.020726322,-0.040794664,0.000205101,-0.081837707,0.032263912,-0.045552321,0.066697755,-0.244485778,0.247128123,-0.082197484,0.18918328,0.158343544,-0.104919752,-0.378236466,0.589954772,-0.187153315,0.1804018,-5.05E-17,0.148866262,0.314555758,-0.150136038,-0.340670928,0.55119258,-0.446424455,0.40194236,-0.430943395,0.411328584,,0.147060785,0.070983708,-0.053489925,-0.00093539,0.002804643,,-0.160978014,-0.434900201,0.370973235,-0.555453416,0.387422207,0.053485276,0.009448969,0.011018482,-0.052584466,-0.053635902,-0.022400582,0.020977217,0.094913417,0.54164882,-0.495729377,0.604574264,-0.511447069,0.628833712,-0.632303223,0.706696857,-0.774992169,-0.634475242,-0.572560944,-0.521310083,-0.708424529,-0.834800963,0.993553674,0.994567691,0.979930615,0.304268397,0.483515643,0.43604358,-0.031963642,-0.777701908,-0.700247021,0.642031435,0.834795985
NUMPOINT(2km)_mean,-0.568242019,-0.429829692,-0.027043164,-0.567973834,0.573688124,-0.862950559,0.829778786,0.272126263,0.570263876,0.133695373,-0.804719226,0.493819035,0.128614773,0.106957225,0.106957225,0.327803822,0.106957225,0.106957225,0.106957225,-0.623431102,0.322900278,0.115630083,0.97644158,-0.884440156,-0.880953275,0.991169992,0.959737985,0.990759972,0.98217952,1,0.989576131,-0.855514928,0.597685498,0.135509491,-0.135090443,-0.172154183,-0.583284931,0.071138452,-0.079035041,0.066986376,-0.084212247,-0.012574698,-0.073159304,-0.005672865,-0.066940789,0.044924754,-0.025338948,-0.131539268,0.135619995,0.011641238,0.074618035,0.271212447,-0.212912293,-0.26979341,0.481620228,-0.083062093,0.075714405,1.68E-16,0.04286553,0.346505998,-0.198181276,-0.222295476,0.438274399,-0.413290539,0.390854917,-0.408468122,0.402451349,,0.162184469,0.186173993,-0.169190655,0.106346115,-0.10790993,,-0.253143573,-0.315628444,0.251516351,-0.439059657,0.266806512,0.171548819,-0.115970427,0.045214691,-0.079772448,-0.031077563,-0.051463622,0.020849539,0.09532009,0.608901739,-0.565894616,0.666786234,-0.579722412,0.66726922,-0.706326392,0.793014332,-0.844235085,-0.725308818,-0.66494405,-0.612648646,-0.754305161,-0.884877547,0.99290475,0.991208251,0.999762846,0.436849863,0.453927693,0.412672982,0.039177788,-0.825376603,-0.752178967,0.64057862,0.765587166
NUMPOINT(2km)_median,-0.567942815,-0.409431514,-0.047399501,-0.543716871,0.566360791,-0.845028659,0.804328245,0.269796984,0.551633591,0.146172023,-0.78747488,0.480071919,0.121354239,0.09822295,0.09822295,0.322699967,0.09822295,0.09822295,0.09822295,-0.610756732,0.321114887,0.081761975,0.980572102,-0.874130913,-0.87223683,0.991066779,0.96550218,0.990445537,0.990534331,0.989576131,1,-0.85769947,0.547816384,0.175912896,-0.077726256,-0.134022759,-0.609191687,0.027502805,-0.036534666,0.021689215,-0.038613818,-0.019311768,-0.044882722,-0.049715949,-0.016937571,0.004601802,0.016247471,-0.190371823,0.192437965,-0.024060054,0.133558876,0.208760819,-0.148959737,-0.321440254,0.534996591,-0.141490672,0.133004116,1.87E-16,0.103090018,0.327500383,-0.183463482,-0.277693061,0.493369235,-0.450124214,0.414046825,-0.442451513,0.428780223,,0.174716841,0.138258192,-0.121643046,0.06012966,-0.06351827,,-0.219372054,-0.370637233,0.306558772,-0.494584854,0.323060261,0.098712063,-0.041584492,0.056636915,-0.097409665,-0.01904838,-0.070737109,0.036196601,0.063330847,0.605275724,-0.557890428,0.666998658,-0.573511155,0.680973018,-0.693312783,0.75246904,-0.797397573,-0.690380465,-0.633434912,-0.584965963,-0.733130248,-0.872733263,0.991070179,0.989866904,0.988233509,0.376854431,0.480524933,0.436243016,0.016086429,-0.810864079,-0.730632148,0.613126619,0.799156782
0-18,0.568204889,0.348068837,0.024623162,0.508158653,-0.495274265,0.737814379,-0.744882321,-0.180646187,-0.44464977,0.009338368,0.696155326,-0.382468902,-0.077538188,-0.075874868,-0.075874868,-0.222034147,-0.075874868,-0.075874868,-0.075874868,0.612175354,-0.428517431,-0.267154886,-0.81795458,0.802776308,0.812048869,-0.858165466,-0.844936401,-0.847459227,-0.853061265,-0.855514928,-0.85769947,1,-0.460705414,-0.245942831,-0.044226022,-0.063027347,0.523114725,0.232998813,-0.204216678,0.245923594,-0.205749624,0.029569807,-0.065498123,0.310763684,-0.213292045,0.119139682,-0.141193955,0.396158381,-0.375011671,0.236916817,-0.311678206,-0.161641724,0.087263352,0.441785925,-0.536191704,0.350872919,-0.339543013,-3.51E-16,-0.280688889,-0.446502636,0.265276822,0.344614356,-0.466528049,0.634231482,-0.625779244,0.629950838,-0.620344499,,-0.066098164,0.086060954,-0.091793379,0.164910558,-0.157846507,,0.098381858,0.398530812,-0.361835478,0.462384955,-0.369474397,-0.033896322,-0.065982127,0.253084314,-0.119425787,0.35679452,-0.163590073,0.320505237,-0.313884366,-0.453770021,0.368065306,-0.531465227,0.38107752,-0.651217068,0.552407574,-0.590468754,0.664127861,0.519590976,0.477078596,0.399290562,0.548902438,0.79838028,-0.859019905,-0.847577362,-0.855750857,-0.367946677,-0.224360427,-0.19767196,-0.063186823,0.719341372,0.751613989,-0.606494258,-0.588836281
19-34,-0.147981895,-0.404178055,0.023117815,-0.450736297,0.449282414,-0.739731978,0.762840205,0.389369507,0.657985394,0.206111754,-0.722335712,0.587213851,0.16092958,0.114165587,0.114165587,0.430888776,0.114165587,0.114165587,0.114165587,-0.601662227,0.461803969,0.336113175,0.489222424,-0.697610413,-0.693582994,0.530082121,0.494835571,0.513079286,0.489012599,0.597685498,0.547816384,-0.460705414,1,0.016330755,-0.829320136,-0.807683351,0.011020964,0.575800603,-0.584580984,0.550412231,-0.56366794,0.031529134,-0.24321263,0.36861129,-0.47773457,0.358391496,-0.358571489,0.512477704,-0.507019652,0.489918298,-0.527476072,0.44965897,-0.478363119,0.389155669,-0.260625083,0.433603572,-0.444354426,-9.99E-17,-0.439629502,0.246666826,-0.242028018,0.434517846,-0.287266749,-0.019117053,0.085261247,-0.068703993,0.11841841,,0.245562675,0.669897977,-0.664522382,0.609483085,-0.625999579,,-0.614253266,0.385615431,-0.427369364,0.299746708,-0.417921839,0.549981606,-0.613969738,0.251607787,-0.313162311,0.168587265,-0.274781264,0.054388695,0.06595598,0.719639169,-0.706818579,0.72352927,-0.697451924,0.563925945,-0.78200478,0.861208301,-0.776358217,-0.862632631,-0.842376233,-0.815472712,-0.682115032,-0.714342254,0.545347212,0.516871418,0.603416142,0.839979347,0.144780057,0.142202902,0.146775313,-0.680337276,-0.633328983,0.403024437,0.113277363
35-49,0.166463203,0.100194951,-0.221064899,-0.259298322,0.289379251,-0.298705466,0.298490741,0.330508426,0.392685572,0.409187771,-0.366301316,0.454649542,0.063405906,0.060444695,0.060444695,0.296574579,0.060444695,0.060444695,0.060444695,-0.264856306,0.176794835,0.039413313,0.093279673,-0.419113623,-0.432807082,0.152394117,0.223200473,0.122185092,0.140300609,0.135509491,0.175912896,-0.245942831,0.016330755,1,-0.059113551,-0.162892545,-0.232939866,-0.154920751,0.138922045,-0.131782783,0.146205199,0.102408452,-0.120330075,-0.123416525,0.12294058,-0.125342451,0.085753829,-0.220589032,0.2122961,-0.078573302,0.172776184,0.195778729,-0.122086547,-0.248426605,0.219785849,-0.210425051,0.195554612,3.72E-15,0.147995388,0.162871195,-0.353660107,-0.178744639,0.17134649,-0.574383701,0.552571383,-0.561552726,0.545708617,,0.437144382,-0.077380177,0.074696176,-0.176336701,0.122145361,,-0.009573523,0.000757197,0.016866757,-0.008209009,0.024315316,0.076737305,0.063765893,-0.213591752,0.276606331,-0.230589252,0.271596481,-0.157930416,0.146705657,0.482554362,-0.498774217,0.446294165,-0.489818818,0.302691145,-0.302604798,0.183368246,0.030061494,-0.278759866,-0.378272044,-0.393116284,-0.276391527,-0.41269691,0.145968528,0.11808383,0.135153123,0.193689432,0.084879782,0.085760561,0.11439027,-0.304215732,-0.276487859,0.070288389,-0.022582495
50-64,-0.227388107,0.116175017,0.037915936,0.28925176,-0.260912318,0.420582925,-0.459288581,-0.392036669,-0.521228232,-0.269433228,0.440639561,-0.496415047,-0.087573919,-0.04511622,-0.04511622,-0.348205252,-0.04511622,-0.04511622,-0.04511622,0.371591241,-0.263408523,-0.251146872,-0.015921516,0.355341703,0.343515814,-0.062878038,-0.049858082,-0.041459583,-0.020465447,-0.135090443,-0.077726256,-0.044226022,-0.829320136,-0.059113551,1,0.925603231,-0.275732877,-0.67286949,0.662465289,-0.660886629,0.645320647,-0.033161815,0.263693912,-0.531403704,0.578021103,-0.393873294,0.413849784,-0.717645415,0.694127113,-0.592313237,0.694382334,-0.421356552,0.483713295,-0.596629711,0.567560718,-0.592374335,0.596261281,1.66E-15,0.575661797,-0.058986301,0.147646951,-0.602636104,0.564557326,-0.220117498,0.150808913,-0.170264495,0.115311056,,-0.300098025,-0.719835521,0.718522975,-0.676229425,0.701389839,,0.602670952,-0.66272294,0.677273825,-0.621668455,0.671679515,-0.565880476,0.681410789,-0.273474832,0.27609965,-0.246598589,0.251292415,-0.11315673,-0.030991471,-0.555669917,0.594038234,-0.503930303,0.568831918,-0.231764524,0.533706715,-0.59420763,0.417173112,0.655875192,0.688360105,0.701144493,0.454046695,0.372411019,-0.077359725,-0.044395488,-0.141511032,-0.758382303,0.00416649,-0.004038786,-0.142574448,0.362122896,0.295702403,-0.104635643,0.306901283
65+,-0.240907698,0.258308718,0.001282818,0.214843767,-0.257589245,0.434962201,-0.443997461,-0.406061323,-0.564005766,-0.383799751,0.462115056,-0.54215448,-0.18334375,-0.126307319,-0.126307319,-0.453976506,-0.126307319,-0.126307319,-0.126307319,0.330759369,-0.300366984,-0.187142586,-0.0738004,0.385101335,0.381820489,-0.100781527,-0.088959694,-0.082102543,-0.053860821,-0.172154183,-0.134022759,-0.063027347,-0.807683351,-0.162892545,0.925603231,1,-0.282096281,-0.784356073,0.784265408,-0.769166115,0.755786326,-0.11064988,0.390480908,-0.593131088,0.66080668,-0.465446925,0.49244233,-0.780239567,0.767438752,-0.717388026,0.755645054,-0.459234024,0.516276217,-0.670419143,0.564580714,-0.676282985,0.687988067,-3.40E-16,0.6520209,-0.017140188,0.220581819,-0.678145838,0.563562545,-0.233468314,0.158881094,-0.176774713,0.11899598,,-0.368902789,-0.805555762,0.803698263,-0.7636454,0.793032172,,0.626365886,-0.681393972,0.702470878,-0.613950175,0.693638358,-0.629151178,0.713347311,-0.452015365,0.396617348,-0.418517363,0.391016626,-0.291343478,0.164676715,-0.683352252,0.730608923,-0.62841043,0.712847156,-0.330644626,0.632320804,-0.646336072,0.440384516,0.722668213,0.750826445,0.78048662,0.494488807,0.406254345,-0.115480003,-0.08521998,-0.177983761,-0.734217965,-0.070922872,-0.088961231,-0.157313016,0.386655187,0.299125714,-0.066969355,0.211109371
Total_pop,0.292906355,0.011443659,0.015560027,0.295113658,-0.192763249,0.468504739,-0.399544415,-0.332035329,-0.364588687,0.033565707,0.483300824,-0.310565128,-0.30898401,-0.285151147,-0.285151147,-0.2910603,-0.285151147,-0.285151147,-0.285151147,0.385754483,-0.157653454,0.540891859,-0.629163877,0.519377539,0.509207598,-0.6220854,-0.61898222,-0.632936906,-0.648941081,-0.583284931,-0.609191687,0.523114725,0.011020964,-0.232939866,-0.275732877,-0.282096281,1,0.337179231,-0.361007,0.309429326,-0.34677102,0.044135689,-0.092377508,0.229035955,-0.307531496,0.39045843,-0.37616523,0.49075599,-0.527290383,0.266896762,-0.478876792,0.089728303,-0.193568518,0.803284558,-0.849177679,0.415977919,-0.419522795,5.19E-16,-0.387040032,-0.234006851,0.080349823,0.800954032,-0.844004506,0.3777826,-0.263023384,0.333203226,-0.274728599,,-0.073576287,0.200463275,-0.212096083,0.254628162,-0.25143398,,-0.116359363,0.571322488,-0.562804546,0.632987363,-0.576727674,0.226398929,-0.335613983,0.241241398,-0.285328326,0.216273439,-0.301022575,0.064842555,-0.237408564,-0.161494842,0.127419229,-0.192099582,0.136503934,-0.239181629,0.151039973,-0.219497627,0.276268127,0.175275897,0.152893269,0.139534199,0.642526833,0.5038932,-0.613300706,-0.629553437,-0.578981261,0.033860217,-0.738269441,-0.734713231,-0.14117198,0.529556503,0.240332348,-0.215878926,-0.628723649
IMD - Average rank ,0.265235728,-0.350599678,0.072603813,0.071780015,0.072663182,-0.282601769,0.266108727,0.18174113,0.364469435,0.131567951,-0.288000474,0.328029364,0.180484323,0.140366168,0.140366168,0.20562434,0.140366168,0.140366168,0.140366168,-0.191662907,0.047191482,0.057990756,0.008110508,-0.182838627,-0.185272873,-0.001122412,-0.019819043,-0.00545441,-0.032280021,0.071138452,0.027502805,0.232998813,0.575800603,-0.154920751,-0.67286949,-0.784356073,0.337179231,1,-0.995019215,0.993889828,-0.994084558,0.331082532,-0.644610833,0.880360055,-0.944058836,0.82730967,-0.842916507,0.949351334,-0.937871879,0.82052302,-0.951592495,0.568423803,-0.692890665,0.800995927,-0.691614603,0.948501348,-0.950999003,-1.03E-15,-0.935760398,0.083422155,-0.369923496,0.790972738,-0.683671551,0.622751249,-0.554699849,0.585017288,-0.531021136,,0.097783537,0.87062611,-0.863662634,0.845034312,-0.848442274,,-0.534823452,0.780328943,-0.815307562,0.689566899,-0.803189034,0.663235857,-0.840430914,0.742609877,-0.640221355,0.717967091,-0.639498214,0.585074758,-0.497821708,0.528138612,-0.53203513,0.49348679,-0.529950571,0.306663799,-0.550978892,0.573177446,-0.468398774,-0.60774089,-0.574876684,-0.585138805,-0.334711897,-0.198345049,0.011445888,-0.001567829,0.077252245,0.595410274,0.098577512,0.111289432,0.185885618,-0.184075031,-0.080169742,-0.006794302,-0.192351391
IMD - Rank of average rank ,-0.24648827,0.391326412,-0.061994262,-0.101362124,-0.084702347,0.290140382,-0.271649587,-0.179491142,-0.360009787,-0.131760626,0.291095753,-0.32858224,-0.183942445,-0.142592964,-0.142592964,-0.194503606,-0.142592964,-0.142592964,-0.142592964,0.189832404,-0.072461846,-0.098950071,-0.013538817,0.193367254,0.196753058,-0.008617843,0.012662319,-0.001367317,0.026924484,-0.079035041,-0.036534666,-0.204216678,-0.584580984,0.138922045,0.662465289,0.784265408,-0.361007,-0.995019215,1,-0.98355366,0.994384224,-0.328244824,0.631149214,-0.853869231,0.936210654,-0.839016984,0.851312276,-0.946226978,0.943064572,-0.826447628,0.955256444,-0.583424457,0.702709027,-0.814865312,0.703340587,-0.945456778,0.950832714,-5.63E-17,0.936942211,-0.091132857,0.385193566,-0.810478247,0.699006092,-0.607418951,0.534000934,-0.56710753,0.512908373,,-0.101034932,-0.862950337,0.858234439,-0.838691988,0.843162125,,0.516667193,-0.788138166,0.824667035,-0.69680625,0.812271974,-0.665710893,0.840154329,-0.730327945,0.640857567,-0.692125823,0.641998584,-0.548896835,0.49358009,-0.541538631,0.543170365,-0.507962645,0.54122333,-0.323657657,0.564997675,-0.577818875,0.471017348,0.613841733,0.579467994,0.588039023,0.320109537,0.20951617,-0.020800662,-0.004896241,-0.084745747,-0.598470547,-0.062613641,-0.079390181,-0.17662475,0.19024239,0.109402765,-0.006190062,0.193814463
IMD - Average score ,0.276325435,-0.329880963,0.079753591,0.055546749,0.065753357,-0.28277274,0.266663482,0.17257344,0.370562581,0.132680173,-0.291148021,0.333463,0.188790229,0.153347145,0.153347145,0.188771273,0.153347145,0.153347145,0.153347145,-0.194012188,-0.003017132,0.024509146,0.003062987,-0.18230667,-0.183743898,-0.006158402,-0.024428659,-0.009815205,-0.034856664,0.066986376,0.021689215,0.245923594,0.550412231,-0.131782783,-0.660886629,-0.769166115,0.309429326,0.993889828,-0.98355366,1,-0.990213533,0.380129023,-0.695633423,0.919115854,-0.96569076,0.828960044,-0.855394691,0.938130589,-0.918814578,0.833582445,-0.941901982,0.59093013,-0.726083664,0.786507369,-0.672472878,0.947675391,-0.95027969,1.05E-15,-0.941311956,0.095386327,-0.39180778,0.775305307,-0.665148519,0.626697638,-0.570973384,0.598452287,-0.552208652,,0.091864807,0.864279754,-0.856412345,0.831396439,-0.838004296,,-0.54717101,0.773946112,-0.806339794,0.684277247,-0.79444093,0.679046874,-0.844190723,0.733307626,-0.60998871,0.721603472,-0.609644962,0.60273896,-0.489243908,0.524596222,-0.527653413,0.48889509,-0.526481606,0.298753755,-0.53627798,0.574257535,-0.467771291,-0.60884453,-0.580394827,-0.588240041,-0.348049735,-0.196178032,0.005807202,-0.005866533,0.073080192,0.595896322,0.117844927,0.128934704,0.186129402,-0.185891916,-0.071223004,-0.014609924,-0.194258093
IMD - Rank of average score ,-0.244384315,0.370856893,-0.08230486,-0.085984561,-0.066278594,0.29335194,-0.275766062,-0.147085506,-0.350522212,-0.11878253,0.293100386,-0.309816822,-0.181448581,-0.143296748,-0.143296748,-0.177527414,-0.143296748,-0.143296748,-0.143296748,0.199121942,-0.037911993,-0.089516376,-0.014958164,0.189236965,0.1924466,-0.011211696,0.010702683,-0.005355792,0.020726322,-0.084212247,-0.038613818,-0.205749624,-0.56366794,0.146205199,0.645320647,0.755786326,-0.34677102,-0.994084558,0.994384224,-0.990213533,1,-0.366517551,0.673632544,-0.884848204,0.961759934,-0.869915485,0.885136008,-0.940473113,0.933474151,-0.8024728,0.958619976,-0.613751588,0.738202111,-0.805613343,0.700505751,-0.95150453,0.954775682,-1.63E-16,0.951289648,-0.122255083,0.409101253,-0.800926285,0.697740589,-0.620817917,0.551325926,-0.587818086,0.536307442,,-0.075981797,-0.85592977,0.849438375,-0.827245155,0.828216144,,0.50908015,-0.786206457,0.821753053,-0.695094066,0.811094501,-0.687109103,0.853112241,-0.7267649,0.634747025,-0.69290868,0.632522011,-0.556841015,0.494751503,-0.530298681,0.528020504,-0.498116522,0.527816889,-0.321370218,0.557641602,-0.582554748,0.485416066,0.613083803,0.576970271,0.57831862,0.317813654,0.203764393,-0.022856756,-0.008984554,-0.090076691,-0.603298678,-0.06252637,-0.076602403,-0.178726323,0.189892176,0.109367956,-0.022078088,0.195054692
IMD - Proportion of LSOAs in most deprived 10% nationally ,0.370255717,-0.068177995,0.089800184,0.165352552,-0.139084169,-0.014367766,0.018729723,0.109467091,0.090506156,0.074701788,-0.037696817,0.208028817,0.087139209,0.074701788,0.074701788,-0.117197907,0.074701788,0.074701788,0.074701788,0.115224863,-0.063926901,-0.274243851,-0.034997014,-0.042830294,-0.072078339,-0.053519307,-0.081009259,-0.046974018,-0.040794664,-0.012574698,-0.019311768,0.029569807,0.031529134,0.102408452,-0.033161815,-0.11064988,0.044135689,0.331082532,-0.328244824,0.380129023,-0.366517551,1,-0.818354133,0.400940809,-0.443650008,0.439504539,-0.515714983,0.255540456,-0.24461213,0.35117542,-0.313907129,0.533600097,-0.596048398,0.25349856,-0.190199361,0.28353206,-0.294932202,5.08E-17,-0.357829722,0.160356745,-0.526631845,0.233935828,-0.176741573,0.109218071,-0.132944565,0.157103536,-0.186145494,,0.072822248,0.052587516,-0.046740135,0.024050962,-0.019176832,,-0.134578822,0.28263386,-0.278134088,0.248477271,-0.277513595,0.324799177,-0.34006879,0.430907562,-0.283671807,0.444169314,-0.291778454,0.463297568,-0.3985475,0.253449426,-0.226812734,0.227762834,-0.240338567,0.134654625,-0.129231836,0.2085458,-0.209789185,-0.202022265,-0.171998685,-0.159536235,-0.119319668,-0.048705907,-0.052461911,-0.044310645,-0.011295217,0.268135817,-0.056940692,-0.011497289,0.266929146,-0.042036839,-0.073811218,-0.135267893,-0.079301606
IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,-0.364401034,0.124205697,-0.1362847,-0.02785809,0.069235265,0.195302873,-0.19105599,-0.13185585,-0.267487929,-0.118283409,0.22663324,-0.301782076,-0.154541453,-0.133238782,-0.133238782,-0.076888819,-0.133238782,-0.133238782,-0.133238782,0.114144472,0.036221851,0.21100925,-0.011432416,0.175581889,0.195505824,-0.001251025,-0.001345661,-0.006305695,0.000205101,-0.073159304,-0.044882722,-0.065498123,-0.24321263,-0.120330075,0.263693912,0.390480908,-0.092377508,-0.644610833,0.631149214,-0.695633423,0.673632544,-0.818354133,1,-0.725155232,0.742149455,-0.669999348,0.755891662,-0.542502924,0.517105737,-0.572843383,0.596124757,-0.684927574,0.785533534,-0.452221512,0.37074603,-0.595677228,0.603911009,3.89E-16,0.656096447,-0.376973885,0.700207463,-0.457368347,0.37141597,-0.280676307,0.280708514,-0.301366808,0.305200271,,-0.071570067,-0.416570636,0.402189879,-0.353746698,0.357827437,,0.267544687,-0.522309532,0.525297789,-0.462422821,0.51879119,-0.59308742,0.5991664,-0.588646473,0.417702443,-0.595484329,0.41167299,-0.56388737,0.459771837,-0.469818237,0.447244077,-0.434129719,0.455079137,-0.328125056,0.395873138,-0.44220805,0.390376414,0.450617921,0.430792514,0.416498267,0.292630275,0.185327046,-0.009034183,-0.011335616,-0.0793781,-0.514112867,-0.082235884,-0.115205433,-0.32947983,0.200613259,0.134964253,0.035497415,0.140524116
IMD 2019 - Extent ,0.257021163,-0.220470548,0.01820546,0.05948979,0.060464937,-0.199612586,0.197884768,0.075084506,0.270779793,0.091724923,-0.203860278,0.231654967,0.106996599,0.091724923,0.091724923,0.030455531,0.091724923,0.091724923,0.091724923,-0.156638128,-0.225028388,-0.037860852,-0.062569378,-0.108392388,-0.098840635,-0.066582039,-0.065974833,-0.070968158,-0.081837707,-0.005672865,-0.049715949,0.310763684,0.36861129,-0.123416525,-0.531403704,-0.593131088,0.229035955,0.880360055,-0.853869231,0.919115854,-0.884848204,0.400940809,-0.725155232,1,-0.95018032,0.789506236,-0.836335524,0.827381459,-0.789316666,0.744719364,-0.838718553,0.564350824,-0.739823869,0.670510851,-0.586573114,0.883349532,-0.879539009,-1.51E-16,-0.896210083,0.179709439,-0.430959773,0.658167917,-0.583277821,0.635403576,-0.618301431,0.636581275,-0.613586004,,0.029624501,0.758997029,-0.749512722,0.702972796,-0.722649779,,-0.516756136,0.69186817,-0.712851069,0.621580697,-0.702131303,0.614246028,-0.75898698,0.622628748,-0.479790988,0.648675617,-0.472059636,0.558904735,-0.389511867,0.395818155,-0.388645276,0.364255482,-0.391819812,0.216516518,-0.387358526,0.458884664,-0.383831752,-0.479309894,-0.464039469,-0.454490772,-0.276280972,-0.113351162,-0.058199526,-0.068311282,-0.000142714,0.500777428,0.17224781,0.164024139,0.118950007,-0.109736689,0.040909457,-0.008362714,-0.232086933
