LSOA11 Code,Area,id_count,PointDen,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
E01000263,3.942 ,,,694.842 ,0 ,5 ,8 
E01000264,3.778 ,3 ,0.794 ,448.805 ,3 ,6 ,12 
E01000255,10.683 ,,,1086.809 ,0 ,0 ,8 
E01000257,6.800 ,3 ,0.441 ,83.791 ,2 ,3 ,6 
E01000261,11.972 ,,,666.711 ,0 ,4 ,6 
E01000262,22.096 ,,,555.592 ,0 ,2 ,7 
E01000192,2.840 ,1 ,0.352 ,75.999 ,2 ,6 ,14 
E01000193,3.040 ,3 ,0.987 ,335.944 ,4 ,5 ,11 
E01000194,3.324 ,,,238.828 ,4 ,6 ,16 
E01000226,1.730 ,,,786.100 ,0 ,7 ,18 
E01000227,2.558 ,,,449.871 ,1 ,5 ,15 
E01000299,1.651 ,1 ,0.606 ,145.915 ,5 ,5 ,15 
E01000300,1.735 ,,,440.135 ,1 ,5 ,16 
E01000302,2.169 ,1 ,0.461 ,247.481 ,1 ,5 ,14 
E01000317,1.706 ,,,384.158 ,1 ,6 ,14 
E01000318,2.723 ,,,274.867 ,2 ,8 ,13 
E01000323,2.141 ,2 ,0.934 ,219.435 ,5 ,5 ,13 
E01000276,5.128 ,,,1676.572 ,0 ,0 ,12 
E01000278,2.753 ,,,1223.993 ,0 ,0 ,11 
E01000301,2.872 ,,,602.201 ,0 ,4 ,12 
E01000303,2.165 ,,,597.914 ,0 ,4 ,12 
E01000304,1.776 ,,,602.357 ,1 ,6 ,11 
E01000130,1.712 ,,,1000.648 ,0 ,1 ,20 
E01000132,1.535 ,,,911.768 ,0 ,4 ,20 
E01000133,1.556 ,,,772.580 ,0 ,3 ,20 
E01000234,2.763 ,,,436.330 ,2 ,6 ,14 
E01000235,3.508 ,,,493.969 ,1 ,6 ,19 
E01000156,1.800 ,,,585.124 ,0 ,2 ,16 
E01000157,1.259 ,,,869.023 ,0 ,2 ,14 
E01000163,1.914 ,,,681.092 ,0 ,3 ,13 
E01000164,5.470 ,1 ,0.183 ,486.346 ,1 ,1 ,18 
E01000165,1.852 ,,,426.362 ,1 ,5 ,14 
E01000315,5.055 ,,,488.469 ,1 ,5 ,13 
E01000197,2.770 ,,,679.957 ,0 ,4 ,16 
E01000295,2.042 ,,,300.103 ,2 ,4 ,13 
E01000296,2.221 ,1 ,0.450 ,138.281 ,2 ,4 ,12 
E01000298,2.660 ,,,426.618 ,1 ,5 ,12 
E01000125,3.077 ,,,247.032 ,1 ,5 ,21 
E01000127,2.006 ,,,1247.847 ,0 ,1 ,21 
E01000128,2.468 ,,,808.251 ,0 ,7 ,21 
E01000129,1.718 ,,,435.511 ,1 ,5 ,19 
E01000131,3.361 ,,,431.654 ,1 ,8 ,14 
E01000134,1.594 ,,,626.274 ,0 ,5 ,20 
E01000198,3.293 ,,,847.559 ,0 ,1 ,15 
E01000199,3.381 ,,,610.552 ,0 ,4 ,11 
E01000204,3.165 ,,,377.646 ,2 ,5 ,8 
E01000259,12.840 ,,,345.739 ,2 ,3 ,7 
E01000260,8.163 ,,,1099.810 ,0 ,0 ,12 
E01000126,1.614 ,,,602.414 ,0 ,4 ,15 
E01000151,1.422 ,,,502.276 ,0 ,4 ,15 
E01000152,1.849 ,,,853.421 ,0 ,2 ,15 
E01000153,1.650 ,,,885.794 ,0 ,1 ,15 
E01000154,1.349 ,1 ,0.741 ,212.541 ,2 ,4 ,18 
E01000176,2.197 ,,,646.433 ,0 ,1 ,12 
E01000178,4.175 ,,,268.562 ,3 ,3 ,11 
E01000184,6.860 ,,,263.311 ,1 ,1 ,17 
E01000297,2.319 ,,,481.680 ,1 ,4 ,13 
E01000316,4.064 ,1 ,0.246 ,340.369 ,1 ,4 ,15 
E01000319,1.590 ,,,360.498 ,1 ,3 ,17 
E01000196,2.458 ,2 ,0.814 ,258.830 ,2 ,3 ,12 
E01000200,2.780 ,,,990.190 ,0 ,2 ,12 
E01000201,3.936 ,,,922.320 ,0 ,1 ,14 
E01000202,2.260 ,,,626.299 ,0 ,2 ,12 
E01000203,3.053 ,,,853.498 ,0 ,2 ,11 
E01000177,1.687 ,,,608.630 ,0 ,4 ,12 
E01000179,1.438 ,,,711.572 ,0 ,3 ,10 
E01000180,1.707 ,,,407.019 ,3 ,4 ,10 
E01000181,1.431 ,3 ,2.096 ,66.510 ,3 ,3 ,11 
E01000182,2.193 ,,,195.152 ,3 ,3 ,10 
E01000185,1.236 ,,,600.440 ,0 ,4 ,15 
E01000147,2.023 ,,,558.624 ,0 ,7 ,15 
E01000148,2.341 ,,,416.428 ,4 ,8 ,15 
E01000155,2.905 ,2 ,0.688 ,259.936 ,4 ,7 ,15 
E01033572,6.832 ,,,642.311 ,0 ,5 ,16 
E01033573,1.401 ,1 ,0.714 ,47.011 ,2 ,4 ,15 
E01000239,4.295 ,,,793.944 ,0 ,6 ,17 
E01000240,4.408 ,,,1023.327 ,0 ,2 ,12 
E01000241,3.397 ,,,550.485 ,0 ,3 ,15 
E01000309,2.902 ,,,346.942 ,3 ,6 ,15 
E01000237,3.245 ,,,346.570 ,4 ,7 ,15 
E01000242,2.764 ,,,454.002 ,1 ,3 ,16 
E01000243,1.836 ,1 ,0.545 ,88.132 ,3 ,5 ,16 
E01000244,2.237 ,1 ,0.447 ,35.293 ,2 ,6 ,16 
E01000245,1.811 ,1 ,0.552 ,42.836 ,3 ,6 ,15 
E01000314,2.509 ,3 ,1.196 ,121.012 ,3 ,9 ,13 
E01000183,2.312 ,,,543.277 ,0 ,4 ,10 
E01000206,13.212 ,,,1306.763 ,0 ,0 ,8 
E01000207,3.468 ,1 ,0.288 ,385.831 ,1 ,1 ,9 
E01000208,4.069 ,,,606.900 ,0 ,4 ,8 
E01000210,4.963 ,,,212.624 ,1 ,1 ,10 
E01000213,4.247 ,,,599.939 ,0 ,1 ,9 
E01000236,2.294 ,,,520.271 ,0 ,3 ,13 
E01000238,2.113 ,,,463.632 ,2 ,3 ,15 
E01000310,3.048 ,,,226.750 ,4 ,7 ,16 
E01000311,3.490 ,,,703.007 ,0 ,7 ,17 
E01000205,3.804 ,,,584.022 ,0 ,3 ,13 
E01000209,4.013 ,,,304.416 ,2 ,3 ,11 
E01000211,2.742 ,2 ,0.729 ,237.673 ,2 ,2 ,13 
E01000212,3.478 ,,,734.748 ,0 ,5 ,8 
E01000216,1.950 ,,,487.479 ,1 ,4 ,13 
E01000217,2.146 ,,,184.483 ,2 ,2 ,17 
E01000150,4.647 ,1 ,0.215 ,491.925 ,1 ,2 ,19 
E01000305,6.886 ,1 ,0.145 ,216.239 ,1 ,4 ,15 
E01000306,1.466 ,,,385.951 ,1 ,7 ,12 
E01000308,5.289 ,,,306.135 ,2 ,3 ,16 
E01000312,1.466 ,,,505.267 ,0 ,2 ,16 
E01000313,2.182 ,,,236.556 ,2 ,5 ,17 
E01000145,2.071 ,,,292.600 ,1 ,4 ,17 
E01000215,2.188 ,,,792.514 ,0 ,4 ,14 
E01000218,1.517 ,,,485.783 ,1 ,5 ,18 
E01000219,1.912 ,,,258.143 ,1 ,4 ,19 
E01000220,1.533 ,,,474.783 ,1 ,3 ,17 
E01000225,3.106 ,,,455.591 ,1 ,2 ,17 
E01000135,3.307 ,,,511.499 ,0 ,4 ,17 
E01000136,5.205 ,,,378.495 ,1 ,4 ,15 
E01000144,1.981 ,1 ,0.505 ,145.317 ,2 ,3 ,11 
E01000146,2.066 ,2 ,0.968 ,105.938 ,3 ,4 ,13 
E01000214,3.313 ,,,413.250 ,1 ,3 ,10 
E01000141,3.705 ,4 ,1.080 ,171.515 ,4 ,6 ,23 
E01000221,4.217 ,1 ,0.237 ,218.151 ,1 ,3 ,21 
E01000223,5.445 ,,,566.648 ,1 ,3 ,18 
E01000307,5.018 ,2 ,0.399 ,411.315 ,1 ,5 ,13 
E01000138,2.615 ,,,462.167 ,1 ,4 ,19 
E01000142,1.994 ,,,274.447 ,1 ,7 ,23 
E01000222,4.160 ,,,652.824 ,0 ,4 ,18 
E01000224,1.605 ,,,694.951 ,0 ,6 ,17 
E01000137,1.228 ,,,281.254 ,1 ,4 ,17 
E01000139,3.510 ,,,428.692 ,1 ,3 ,23 
E01000140,1.461 ,1 ,0.684 ,104.110 ,1 ,4 ,20 
E01000143,1.745 ,1 ,0.573 ,231.062 ,3 ,8 ,23 
E01000466,23.602 ,,,770.607 ,0 ,2 ,9 
E01000467,1.718 ,,,1576.064 ,0 ,0 ,6 
E01000468,2.933 ,,,1760.662 ,0 ,0 ,5 
E01000469,3.796 ,,,1226.049 ,0 ,0 ,6 
E01000416,1.785 ,,,343.902 ,1 ,2 ,7 
E01000418,5.155 ,,,625.424 ,0 ,2 ,8 
E01000422,1.042 ,,,444.772 ,2 ,2 ,6 
E01000464,1.454 ,,,766.748 ,0 ,2 ,7 
E01000465,2.684 ,,,1415.585 ,0 ,0 ,7 
E01000470,3.609 ,,,454.731 ,1 ,2 ,6 
E01000333,2.907 ,2 ,0.688 ,35.645 ,2 ,2 ,8 
E01000335,13.944 ,2 ,0.143 ,185.814 ,2 ,2 ,4 
E01000336,1.808 ,,,591.054 ,0 ,3 ,6 
E01000337,2.747 ,,,692.502 ,0 ,3 ,7 
E01000338,1.732 ,,,698.301 ,0 ,3 ,6 
E01000403,6.263 ,3 ,0.479 ,2.551 ,3 ,4 ,6 
E01000404,1.701 ,,,686.232 ,0 ,3 ,8 
E01000405,3.875 ,,,1010.696 ,0 ,0 ,9 
E01000408,10.878 ,,,614.553 ,0 ,2 ,8 
E01000332,2.782 ,,,547.804 ,0 ,3 ,5 
E01000402,3.119 ,,,856.014 ,0 ,3 ,8 
E01000406,4.287 ,,,1045.294 ,0 ,0 ,10 
E01000407,4.325 ,,,614.616 ,0 ,3 ,10 
E01000334,2.650 ,,,365.291 ,2 ,2 ,8 
E01000417,7.453 ,,,913.652 ,0 ,1 ,7 
E01000419,2.637 ,,,554.170 ,0 ,1 ,9 
E01000420,2.745 ,,,560.882 ,0 ,3 ,11 
E01000442,3.074 ,,,461.300 ,2 ,2 ,9 
E01000437,2.662 ,,,748.462 ,0 ,3 ,8 
E01000438,1.831 ,,,258.275 ,1 ,2 ,10 
E01000439,2.522 ,1 ,0.397 ,66.449 ,1 ,2 ,10 
E01000440,2.417 ,,,871.680 ,0 ,3 ,13 
E01000441,2.355 ,,,604.487 ,1 ,2 ,14 
E01000373,0.890 ,,,234.160 ,1 ,5 ,7 
E01000429,3.101 ,,,377.119 ,1 ,5 ,6 
E01000430,15.101 ,,,550.405 ,0 ,1 ,5 
E01000431,1.465 ,1 ,0.683 ,175.046 ,1 ,5 ,7 
E01000432,4.610 ,1 ,0.217 ,225.227 ,1 ,2 ,5 
E01000433,3.110 ,,,550.153 ,0 ,2 ,8 
E01000434,15.476 ,,,405.052 ,1 ,2 ,5 
E01000356,3.094 ,1 ,0.323 ,275.227 ,2 ,4 ,18 
E01000357,2.015 ,,,708.847 ,0 ,3 ,16 
E01000359,2.038 ,1 ,0.491 ,296.788 ,1 ,1 ,13 
E01000421,2.885 ,,,622.844 ,0 ,3 ,10 
E01000450,2.292 ,,,568.742 ,0 ,1 ,13 
E01000451,2.083 ,,,577.042 ,0 ,2 ,12 
E01000452,1.593 ,,,279.736 ,1 ,1 ,15 
E01000367,2.619 ,,,370.695 ,1 ,4 ,7 
E01000368,2.377 ,,,685.986 ,0 ,1 ,9 
E01000372,2.293 ,,,550.650 ,0 ,3 ,10 
E01000380,2.248 ,,,1151.802 ,0 ,0 ,8 
E01000435,1.753 ,,,859.121 ,0 ,2 ,10 
E01000353,3.378 ,,,432.408 ,1 ,2 ,14 
E01000354,2.053 ,,,712.623 ,0 ,4 ,15 
E01000355,4.205 ,,,448.020 ,1 ,2 ,14 
E01000358,2.945 ,1 ,0.340 ,475.646 ,1 ,4 ,14 
E01000436,2.771 ,,,964.153 ,0 ,4 ,12 
E01000401,2.698 ,1 ,0.371 ,330.194 ,2 ,7 ,15 
E01000453,2.103 ,,,695.227 ,0 ,2 ,12 
E01000454,2.053 ,,,370.555 ,1 ,4 ,12 
E01000455,2.630 ,,,404.392 ,2 ,5 ,15 
E01000456,1.688 ,,,945.317 ,0 ,7 ,14 
E01000325,3.913 ,,,651.049 ,0 ,1 ,12 
E01000326,2.733 ,,,1196.302 ,0 ,0 ,11 
E01000369,2.661 ,,,556.350 ,0 ,2 ,9 
E01000370,3.257 ,1 ,0.307 ,215.743 ,1 ,2 ,12 
E01000371,2.314 ,,,1044.987 ,0 ,1 ,13 
E01000360,4.397 ,1 ,0.227 ,365.137 ,1 ,7 ,14 
E01000362,3.944 ,3 ,0.761 ,271.096 ,4 ,5 ,11 
E01000365,3.410 ,1 ,0.293 ,463.362 ,2 ,8 ,12 
E01000366,2.358 ,,,269.694 ,3 ,6 ,16 
E01000394,2.370 ,2 ,0.844 ,251.671 ,3 ,3 ,16 
E01000388,5.300 ,,,275.488 ,3 ,8 ,16 
E01000392,2.209 ,3 ,1.358 ,192.627 ,3 ,7 ,16 
E01000409,2.266 ,,,611.037 ,0 ,10 ,15 
E01000411,1.911 ,,,438.200 ,1 ,7 ,16 
E01000414,2.945 ,3 ,1.019 ,97.711 ,4 ,8 ,13 
E01000415,2.285 ,,,397.041 ,3 ,7 ,13 
E01000327,3.919 ,,,511.222 ,0 ,6 ,11 
E01000328,5.433 ,,,1251.518 ,0 ,1 ,11 
E01000329,4.811 ,,,262.825 ,1 ,5 ,13 
E01000330,2.551 ,,,368.494 ,3 ,7 ,11 
E01000331,5.342 ,,,761.126 ,0 ,1 ,10 
E01000340,2.325 ,,,591.289 ,0 ,2 ,14 
E01000395,3.212 ,,,957.926 ,0 ,3 ,11 
E01000396,2.191 ,,,664.318 ,0 ,3 ,13 
E01000410,2.726 ,1 ,0.367 ,83.845 ,1 ,4 ,15 
E01000412,2.453 ,,,497.627 ,0 ,2 ,14 
E01000413,2.069 ,1 ,0.483 ,515.447 ,0 ,5 ,16 
E01000374,7.436 ,,,1132.921 ,0 ,0 ,5 
E01000375,4.292 ,,,582.797 ,0 ,3 ,3 
E01000376,5.499 ,,,797.203 ,0 ,3 ,4 
E01000377,4.305 ,,,455.744 ,1 ,3 ,4 
E01000378,12.618 ,3 ,0.238 ,207.503 ,3 ,3 ,5 
E01000379,3.242 ,,,363.661 ,1 ,3 ,3 
E01000348,2.934 ,,,445.138 ,1 ,1 ,10 
E01000349,3.333 ,,,1321.191 ,0 ,1 ,10 
E01000361,2.853 ,,,511.560 ,0 ,3 ,15 
E01000363,4.186 ,,,758.366 ,0 ,4 ,11 
E01000389,4.422 ,,,239.942 ,1 ,3 ,19 
E01000390,5.446 ,,,447.385 ,1 ,2 ,18 
E01000393,2.762 ,,,705.560 ,0 ,6 ,19 
E01000346,3.480 ,,,622.170 ,1 ,5 ,13 
E01000347,1.965 ,2 ,1.018 ,258.270 ,4 ,4 ,17 
E01000350,2.694 ,1 ,0.371 ,77.485 ,1 ,4 ,14 
E01000352,3.443 ,1 ,0.290 ,428.038 ,1 ,5 ,17 
E01000391,4.653 ,,,324.715 ,3 ,5 ,17 
E01000341,2.430 ,,,897.805 ,0 ,5 ,17 
E01000342,2.188 ,,,567.449 ,0 ,4 ,11 
E01000343,3.029 ,,,378.301 ,4 ,4 ,17 
E01000345,2.077 ,,,533.350 ,0 ,2 ,13 
E01000460,5.161 ,,,588.257 ,0 ,3 ,15 
E01000364,4.327 ,,,633.344 ,0 ,5 ,11 
E01000444,13.797 ,,,1749.251 ,0 ,0 ,3 
