LSOA11CD,Employee
E01000158,470
E01000159,280
E01000160,779
E01000161,277
E01000162,551
E01000163,347
E01000164,844
E01000165,206
E01000166,247
E01000167,241
E01000168,205
E01000169,212
E01000170,459
E01000171,1099
E01000172,440
E01000173,332
E01000174,596
E01000175,182
E01000176,201
E01000177,326
E01000178,628
E01000179,455
E01000180,273
E01000181,738
E01000182,1210
E01000183,387
E01000184,179
E01000185,359
E01000186,317
E01000187,337
E01000188,423
E01000189,465
E01000190,207
E01000191,261
E01000192,949
E01000193,1680
E01000194,1412
E01000195,335
E01000196,3418
E01000197,444
E01000198,413
E01000199,307
E01000200,284
E01000201,344
E01000202,364
E01000203,471
E01000204,508
E01000205,333
E01000206,713
E01000207,634
E01000208,276
E01000209,356
E01000210,410
E01000211,1730
E01000212,448
E01000213,259
E01000214,613
E01000215,486
E01000216,427
E01000217,322
E01000218,439
E01000219,284
E01000220,1003
E01000221,1252
E01000222,211
E01000223,1046
E01000224,238
E01000225,237
E01000226,196
E01000227,278
E01000228,617
E01000229,202
E01000230,344
E01000231,388
E01000232,229
E01000233,528
E01000234,608
E01000235,433
E01000236,327
E01000237,2137
E01000238,542
E01000239,1172
E01000240,365
E01000241,360
E01000242,372
E01000243,1174
E01000244,460
E01000245,1142
E01000246,224
E01000247,294
E01000248,1101
E01000249,660
E01000250,2218
E01000251,845
E01000252,266
E01000253,446
E01000254,423
E01000255,608
E01000256,432
E01000257,960
E01000258,865
E01000259,476
E01000260,577
E01000261,726
E01000262,1727
E01000263,311
E01000264,1247
E01000265,383
E01000266,249
E01000267,375
E01000268,1325
E01000269,311
E01000270,243
E01000271,314
E01000272,392
E01000273,870
E01000274,248
E01000275,301
E01000276,279
E01000277,345
E01000278,226
E01000279,600
E01000280,237
E01000281,2124
E01000282,276
E01000283,247
E01000284,630
E01000285,160
E01000286,202
E01000287,259
E01000288,189
E01000289,285
E01000290,393
E01000291,266
E01000292,618
E01000293,650
E01000294,2952
E01000295,376
E01000296,1204
E01000297,894
E01000298,1066
E01000299,1406
E01000300,379
E01000301,234
E01000302,1243
E01000303,215
E01000304,248
E01000305,890
E01000306,293
E01000307,4453
E01000308,257
E01000309,497
E01000310,939
E01000311,299
E01000312,319
E01000313,646
E01000314,507
E01000315,427
E01000316,913
E01000317,355
E01000318,421
E01000319,280
E01000320,741
E01000321,981
E01000322,419
E01000323,1191
E01000324,442
E01000325,233
E01000326,166
E01000327,260
E01000328,313
E01000329,520
E01000330,1272
E01000331,219
E01000332,271
E01000333,623
E01000334,159
E01000335,1904
E01000336,273
E01000337,231
E01000338,236
E01000339,213
E01000340,202
E01000341,292
E01000342,126
E01000343,454
E01000344,339
E01000345,161
E01000346,218
E01000347,308
E01000348,210
E01000349,185
E01000350,322
E01000351,179
E01000352,711
E01000353,183
E01000354,128
E01000355,424
E01000356,439
E01000357,190
